Breed,Class Name,Entries
German Shorthaired Pointer,Class 889.  Junior Dog,4
German Shorthaired Pointer,Class 890.  Post Graduate Dog,6
German Shorthaired Pointer,Class 891.  Limit Dog,8
German Shorthaired Pointer,Class 892.  Open Dog,5
German Shorthaired Pointer,Class 893.  Field Trial Dog,0
German Shorthaired Pointer,Class 894.  Special Working Gundog Dog,0
German Shorthaired Pointer,Class 895.  Good Citizen Dog Scheme Dog,3
German Shorthaired Pointer,Class 896.  Veteran Bitch,2
German Shorthaired Pointer,Class 897.  Puppy Bitch,4
German Shorthaired Pointer,Class 898.  Junior Bitch,5
German Shorthaired Pointer,Class 899.  Post Graduate Bitch,17
German Shorthaired Pointer,Class 900.  Limit Bitch,6
German Shorthaired Pointer,Class 901.  Open Bitch,4
German Shorthaired Pointer,Class 902.  Field Trial Bitch,0
German Shorthaired Pointer,Class 903.  Special Working Gundog Bitch,0
German Shorthaired Pointer,Class 904.  Good Citizen Dog Scheme Bitch,4
German Wirehaired Pointer,Class 905.  Veteran Dog,0
German Wirehaired Pointer,Class 906.  Puppy Dog,3
German Wirehaired Pointer,Class 907.  Junior Dog,1
German Wirehaired Pointer,Class 908.  Post Graduate Dog,2
German Wirehaired Pointer,Class 909.  Limit Dog,4
German Wirehaired Pointer,Class 910.  Open Dog,3
German Wirehaired Pointer,Class 911.  Field Trial Dog,0
German Wirehaired Pointer,Class 912.  Special Working Gundog Dog,1
German Wirehaired Pointer,Class 913.  Good Citizen Dog Scheme Dog,3
German Wirehaired Pointer,Class 914.  Veteran Bitch,2
German Wirehaired Pointer,Class 915.  Puppy Bitch,0
German Wirehaired Pointer,Class 916.  Junior Bitch,1
German Wirehaired Pointer,Class 917.  Post Graduate Bitch,5
German Wirehaired Pointer,Class 918.  Limit Bitch,7
German Wirehaired Pointer,Class 919.  Open Bitch,4
German Wirehaired Pointer,Class 920.  Field Trial Bitch,0
German Wirehaired Pointer,Class 921.  Special Working Gundog Bitch,2
German Wirehaired Pointer,Class 922.  Good Citizen Dog Scheme Bitch,3
Gordon Setter,Class 923.  Veteran Dog,6
Gordon Setter,Class 924.  Minor Puppy Dog,0
Gordon Setter,Class 925.  Puppy Dog,2
Gordon Setter,Class 926.  Junior Dog,3
Gordon Setter,Class 927.  Yearling Dog,13
Gordon Setter,Class 928.  Post Graduate Dog,15
Gordon Setter,Class 929.  Limit Dog,14
Gordon Setter,Class 930.  Open Dog,13
Gordon Setter,Class 931.  Field Trial Dog,1
Gordon Setter,Class 932.  Special Working Gundog Dog,6
Gordon Setter,Class 933.  Good Citizen Dog Scheme Dog,3
Gordon Setter,Class 934.  Veteran Bitch,11
Gordon Setter,Class 935.  Minor Puppy Bitch,0
Gordon Setter,Class 936.  Puppy Bitch,5
Gordon Setter,Class 937.  Junior Bitch,4
Gordon Setter,Class 938.  Yearling Bitch,15
Gordon Setter,Class 939.  Post Graduate Bitch,16
Gordon Setter,Class 940.  Limit Bitch,14
Gordon Setter,Class 941.  Open Bitch,8
Gordon Setter,Class 942.  Field Trial Bitch,4
Gordon Setter,Class 943.  Special Working Gundog Bitch,2
Gordon Setter,Class 944.  Good Citizen Dog Scheme Bitch,4
Hungarian Vizsla,Class 945.  Veteran Dog,10
Hungarian Vizsla,Class 946.  Minor Puppy Dog,2
Hungarian Vizsla,Class 947.  Puppy Dog,7
Hungarian Vizsla,Class 948.  Junior Dog,7
Hungarian Vizsla,Class 949.  Yearling Dog,15
Hungarian Vizsla,Class 950.  Post Graduate Dog,12
Hungarian Vizsla,Class 951.  Limit Dog,9
Hungarian Vizsla,Class 952.  Open Dog,12
Hungarian Vizsla,Class 953.  Field Trial Dog,1
Hungarian Vizsla,Class 954.  Special Working Gundog Dog,7
Hungarian Vizsla,Class 955.  Good Citizen Dog Scheme Dog,10
Hungarian Vizsla,Class 956.  Veteran Bitch,11
Hungarian Vizsla,Class 957.  Minor Puppy Bitch,1
Hungarian Vizsla,Class 958.  Puppy Bitch,10
Hungarian Vizsla,Class 959.  Junior Bitch,8
Hungarian Vizsla,Class 960.  Yearling Bitch,18
Hungarian Vizsla,Class 961.  Post Graduate Bitch,26
Hungarian Vizsla,Class 962.  Limit Bitch,16
Hungarian Vizsla,Class 963.  Open Bitch,13
Hungarian Vizsla,Class 964.  Field Trial Bitch,3
Hungarian Vizsla,Class 965.  Special Working Gundog Bitch,7
Hungarian Vizsla,Class 966.  Good Citizen Dog Scheme Bitch,5
Hungarian Wirehaired Vizsla,Class 967.  Veteran Dog,1
Hungarian Wirehaired Vizsla,Class 968.  Puppy Dog,3
Hungarian Wirehaired Vizsla,Class 969.  Junior Dog,4
Hungarian Wirehaired Vizsla,Class 970.  Post Graduate Dog,12
Hungarian Wirehaired Vizsla,Class 971.  Limit Dog,6
Hungarian Wirehaired Vizsla,Class 972.  Open Dog,4
Hungarian Wirehaired Vizsla,Class 973.  Field Trial Dog,2
Hungarian Wirehaired Vizsla,Class 974.  Special Working Gundog Dog,0
Hungarian Wirehaired Vizsla,Class 975.  Good Citizen Dog Scheme Dog,3
Hungarian Wirehaired Vizsla,Class 976.  Veteran Bitch,6
Hungarian Wirehaired Vizsla,Class 977.  Puppy Bitch,5
Hungarian Wirehaired Vizsla,Class 978.  Junior Bitch,6
Hungarian Wirehaired Vizsla,Class 979.  Post Graduate Bitch,8
Hungarian Wirehaired Vizsla,Class 980.  Limit Bitch,10
Hungarian Wirehaired Vizsla,Class 981.  Open Bitch,8
Hungarian Wirehaired Vizsla,Class 982.  Field Trial Bitch,3
Hungarian Wirehaired Vizsla,Class 983.  Special Working Gundog Bitch,2
Hungarian Wirehaired Vizsla,Class 984.  Good Citizen Dog Scheme Bitch,4
Irish Red and White Setter,Class 985.  Veteran Dog,2
Irish Red and White Setter,Class 986.  Puppy Dog,4
Irish Red and White Setter,Class 987.  Junior Dog,3
Irish Red and White Setter,Class 988.  Post Graduate Dog,3
Irish Red and White Setter,Class 989.  Limit Dog,4
Irish Red and White Setter,Class 990.  Open Dog,10
Irish Red and White Setter,Class 991.  Field Trial Dog,0
Irish Red and White Setter,Class 992.  Special Working Gundog Dog,0
Irish Red and White Setter,Class 993.  Good Citizen Dog Scheme Dog,1
Irish Red and White Setter,Class 994.  Veteran Bitch,7
Irish Red and White Setter,Class 995.  Puppy Bitch,1
Irish Red and White Setter,Class 996.  Junior Bitch,2
Irish Red and White Setter,Class 997.  Post Graduate Bitch,8
Irish Red and White Setter,Class 998.  Limit Bitch,9
Irish Red and White Setter,Class 999.  Open Bitch,6
Irish Red and White Setter,Class 1000.  Field Trial Bitch,0
Irish Red and White Setter,Class 1001.  Special Working Gundog Bitch,0
Irish Red and White Setter,Class 1002.  Good Citizen Dog Scheme Bitch,2
Irish Setter,Class 1003.  Veteran Dog,16
Irish Setter,Class 1004.  Minor Puppy Dog,4
Irish Setter,Class 1005.  Puppy Dog,9
Irish Setter,Class 1006.  Junior Dog,10
Irish Setter,Class 1007.  Yearling Dog,19
Irish Setter,Class 1008.  Graduate Dog,21
Irish Setter,Class 1009.  Post Graduate Dog,14
Irish Setter,Class 1010.  Mid Limit Dog,14
Irish Setter,Class 1011.  Limit Dog,11
Irish Setter,Class 1012.  Open Dog,19
Irish Setter,Class 1013.  Field Trial Dog,2
Irish Setter,Class 1014.  Special Working Gundog Dog,4
Irish Setter,Class 1015.  Good Citizen Dog Scheme Dog,11
Irish Setter,Class 1016.  Veteran Bitch,11
Irish Setter,Class 1017.  Minor Puppy Bitch,3
Irish Setter,Class 1018.  Puppy Bitch,9
Irish Setter,Class 1019.  Junior Bitch,15
Irish Setter,Class 1020.  Yearling Bitch,18
Irish Setter,Class 1021.  Graduate Bitch,18
Irish Setter,Class 1022.  Post Graduate Bitch,18
Irish Setter,Class 1023.  Mid Limit Bitch,8
Irish Setter,Class 1024.  Limit Bitch,12
Irish Setter,Class 1025.  Open Bitch,21
Irish Setter,Class 1026.  Field Trial Bitch,0
Irish Setter,Class 1027.  Special Working Gundog Bitch,4
Irish Setter,Class 1028.  Good Citizen Dog Scheme Bitch,4
Italian Spinone,Class 1029.  Veteran Dog,3
Italian Spinone,Class 1030.  Minor Puppy Dog,0
Italian Spinone,Class 1031.  Puppy Dog,1
Italian Spinone,Class 1032.  Junior Dog,4
Italian Spinone,Class 1033.  Yearling Dog,4
Italian Spinone,Class 1034.  Post Graduate Dog,9
Italian Spinone,Class 1035.  Limit Dog,6
Italian Spinone,Class 1036.  Open Dog,9
Italian Spinone,Class 1037.  Field Trial Dog,0
Italian Spinone,Class 1038.  Special Working Gundog Dog,1
Italian Spinone,Class 1039.  Good Citizen Dog Scheme Dog,1
Italian Spinone,Class 1040.  Veteran Bitch,6
Italian Spinone,Class 1041.  Minor Puppy Bitch,0
Italian Spinone,Class 1042.  Puppy Bitch,4
Italian Spinone,Class 1043.  Junior Bitch,3
Italian Spinone,Class 1044.  Yearling Bitch,5
Italian Spinone,Class 1045.  Post Graduate Bitch,6
Italian Spinone,Class 1046.  Limit Bitch,11
Italian Spinone,Class 1047.  Open Bitch,11
Italian Spinone,Class 1048.  Field Trial Bitch,1
Italian Spinone,Class 1049.  Special Working Gundog Bitch,0
Italian Spinone,Class 1050.  Good Citizen Dog Scheme Bitch,2
Lagotto Romagnolo,Class 1051.  Veteran Dog,3
Lagotto Romagnolo,Class 1052.  Minor Puppy Dog,2
Lagotto Romagnolo,Class 1053.  Puppy Dog,3
Lagotto Romagnolo,Class 1054.  Junior Dog,6
Lagotto Romagnolo,Class 1055.  Post Graduate Dog,7
Lagotto Romagnolo,Class 1056.  Limit Dog,4
Lagotto Romagnolo,Class 1057.  Open Dog,14
Lagotto Romagnolo,Class 1058.  Special Working Gundog Dog,3
Lagotto Romagnolo,Class 1059.  Good Citizen Dog Scheme Dog,4
Lagotto Romagnolo,Class 1060.  Veteran Bitch,4
Lagotto Romagnolo,Class 1061.  Minor Puppy Bitch,3
Lagotto Romagnolo,Class 1062.  Puppy Bitch,5
Lagotto Romagnolo,Class 1063.  Junior Bitch,9
Lagotto Romagnolo,Class 1064.  Post Graduate Bitch,12
Lagotto Romagnolo,Class 1065.  Limit Bitch,12
Lagotto Romagnolo,Class 1066.  Open Bitch,10
Lagotto Romagnolo,Class 1067.  Special Working Gundog Bitch,0
Lagotto Romagnolo,Class 1068.  Good Citizen Dog Scheme Bitch,4
Large Munsterlander,Class 1069.  Veteran Dog,4
Large Munsterlander,Class 1070.  Puppy Dog,1
Large Munsterlander,Class 1071.  Junior Dog,1
Large Munsterlander,Class 1072.  Post Graduate Dog,8
Large Munsterlander,Class 1073.  Limit Dog,8
Large Munsterlander,Class 1074.  Open Dog,5
Large Munsterlander,Class 1075.  Field Trial Dog,1
Large Munsterlander,Class 1076.  Special Working Gundog Dog,0
Large Munsterlander,Class 1077.  Good Citizen Dog Scheme Dog,2
Large Munsterlander,Class 1078.  Veteran Bitch,8
Large Munsterlander,Class 1079.  Puppy Bitch,0
Large Munsterlander,Class 1080.  Junior Bitch,1
Large Munsterlander,Class 1081.  Post Graduate Bitch,2
Large Munsterlander,Class 1082.  Limit Bitch,7
Large Munsterlander,Class 1083.  Open Bitch,5
Large Munsterlander,Class 1084.  Field Trial Bitch,2
Large Munsterlander,Class 1085.  Special Working Gundog Bitch,1
Large Munsterlander,Class 1086.  Good Citizen Dog Scheme Bitch,3
Pointer,Class 1087.  Veteran Dog,7
Pointer,Class 1088.  Minor Puppy Dog,1
Pointer,Class 1089.  Puppy Dog,5
Pointer,Class 1090.  Junior Dog,24
Pointer,Class 1091.  Yearling Dog,9
Pointer,Class 1092.  Post Graduate Dog,23
Pointer,Class 1093.  Mid Limit Dog,11
Pointer,Class 1094.  Limit Dog,16
Pointer,Class 1095.  Open Dog,12
Pointer,Class 1096.  Field Trial Dog,0
Pointer,Class 1097.  Special Working Gundog Dog,2
Pointer,Class 1098.  Good Citizen Dog Scheme Dog,10
Pointer,Class 1099.  Veteran Bitch,17
Pointer,Class 1100.  Minor Puppy Bitch,2
Pointer,Class 1101.  Puppy Bitch,6
Pointer,Class 1102.  Junior Bitch,16
Pointer,Class 1103.  Yearling Bitch,20
Pointer,Class 1104.  Post Graduate Bitch,19
Pointer,Class 1105.  Mid Limit Bitch,13
Pointer,Class 1106.  Limit Bitch,15
Pointer,Class 1107.  Open Bitch,12
Pointer,Class 1108.  Field Trial Bitch,1
Pointer,Class 1109.  Special Working Gundog Bitch,4
Pointer,Class 1110.  Good Citizen Dog Scheme Bitch,7
Retriever (Chesapeake Bay),Class 1111.  Veteran Dog,5
Retriever (Chesapeake Bay),Class 1112.  Puppy Dog,2
Retriever (Chesapeake Bay),Class 1113.  Junior Dog,1
Retriever (Chesapeake Bay),Class 1114.  Post Graduate Dog,2
Retriever (Chesapeake Bay),Class 1115.  Limit Dog,7
Retriever (Chesapeake Bay),Class 1116.  Open Dog,8
Retriever (Chesapeake Bay),Class 1117.  Field Trial Dog,0
Retriever (Chesapeake Bay),Class 1118.  Special Working Gundog Dog,1
Retriever (Chesapeake Bay),Class 1119.  Good Citizen Dog Scheme Dog,1
Retriever (Chesapeake Bay),Class 1120.  Veteran Bitch,9
Retriever (Chesapeake Bay),Class 1121.  Puppy Bitch,2
Retriever (Chesapeake Bay),Class 1122.  Junior Bitch,2
Retriever (Chesapeake Bay),Class 1123.  Post Graduate Bitch,8
Retriever (Chesapeake Bay),Class 1124.  Limit Bitch,8
Retriever (Chesapeake Bay),Class 1125.  Open Bitch,8
Retriever (Chesapeake Bay),Class 1126.  Field Trial Bitch,0
Retriever (Chesapeake Bay),Class 1127.  Special Working Gundog Bitch,4
Retriever (Chesapeake Bay),Class 1128.  Good Citizen Dog Scheme Bitch,4
Retriever (Curly Coated),Class 1129.  Veteran Dog,3
Retriever (Curly Coated),Class 1130.  Puppy Dog,6
Retriever (Curly Coated),Class 1131.  Junior Dog,4
Retriever (Curly Coated),Class 1132.  Post Graduate Dog,12
Retriever (Curly Coated),Class 1133.  Limit Dog,12
Retriever (Curly Coated),Class 1134.  Open Dog,12
Retriever (Curly Coated),Class 1135.  Field Trial Dog,1
Retriever (Curly Coated),Class 1136.  Special Working Gundog Dog,0
Retriever (Curly Coated),Class 1137.  Good Citizen Dog Scheme Dog,6
Retriever (Curly Coated),Class 1138.  Veteran Bitch,5
Retriever (Curly Coated),Class 1139.  Puppy Bitch,5
Retriever (Curly Coated),Class 1140.  Junior Bitch,3
Retriever (Curly Coated),Class 1141.  Post Graduate Bitch,16
Retriever (Curly Coated),Class 1142.  Limit Bitch,9
Retriever (Curly Coated),Class 1143.  Open Bitch,13
Retriever (Curly Coated),Class 1144.  Field Trial Bitch,0
Retriever (Curly Coated),Class 1145.  Special Working Gundog Bitch,2
Retriever (Curly Coated),Class 1146.  Good Citizen Dog Scheme Bitch,8
Retriever (Golden),Class 1147. Retriever (Flat Coated) - Veteran Dog,12
Retriever (Golden),Class 1148. Retriever (Flat Coated) - Minor Puppy Dog,1
Retriever (Golden),Class 1149. Retriever (Flat Coated) - Puppy Dog,4
Retriever (Golden),Class 1150. Retriever (Flat Coated) - Junior Dog,20
Retriever (Golden),Class 1151. Retriever (Flat Coated) - Yearling Dog,17
Retriever (Golden),Class 1152. Retriever (Flat Coated) - Undergraduate Dog,11
Retriever (Golden),Class 1153. Retriever (Flat Coated) - Graduate Dog,10
Retriever (Golden),Class 1154. Retriever (Flat Coated) - Post Graduate Dog,6
Retriever (Golden),Class 1155. Retriever (Flat Coated) - Mid Limit Dog,15
Retriever (Golden),Class 1156. Retriever (Flat Coated) - Limit Dog,9
Retriever (Golden),Class 1157. Retriever (Flat Coated) - Open Dog,28
Retriever (Golden),Class 1158. Retriever (Flat Coated) - Field Trial Dog,0
Retriever (Golden),Class 1159. Retriever (Flat Coated) - Special Working Gundog Dog,5
Retriever (Golden),Class 1160. Retriever (Flat Coated) - Good Citizen Dog Scheme Dog,11
Retriever (Golden),Class 1161. Retriever (Flat Coated) - Veteran Bitch,22
Retriever (Golden),Class 1162. Retriever (Flat Coated) - Minor Puppy Bitch,1
Retriever (Golden),Class 1163. Retriever (Flat Coated) - Puppy Bitch,9
Retriever (Golden),Class 1164. Retriever (Flat Coated) - Junior Bitch,29
Retriever (Golden),Class 1165. Retriever (Flat Coated) - Yearling Bitch,32
Retriever (Golden),Class 1166. Retriever (Flat Coated) - Undergraduate Bitch,21
Retriever (Golden),Class 1167. Retriever (Flat Coated) - Graduate Bitch,18
Retriever (Golden),Class 1168. Retriever (Flat Coated) - Post Graduate Bitch,19
Retriever (Golden),Class 1169. Retriever (Flat Coated) - Mid Limit Bitch,24
Retriever (Golden),Class 1170. Retriever (Flat Coated) - Limit Bitch,16
Retriever (Golden),Class 1171. Retriever (Flat Coated) - Open Bitch,26
Retriever (Golden),Class 1172. Retriever (Flat Coated) - Field Trial Bitch,0
Retriever (Golden),Class 1173. Retriever (Flat Coated) - Special Working Gundog Bitch,19
Retriever (Golden),Class 1174. Retriever (Flat Coated) - Good Citizen Dog Scheme Bitch,17
Spaniel (Clumber),Class 1251. Spaniel (American Cocker) - Veteran Dog,8
Spaniel (Clumber),Class 1252. Spaniel (American Cocker) - Puppy Dog,4
Spaniel (Clumber),Class 1253. Spaniel (American Cocker) - Junior Dog,10
Spaniel (Clumber),Class 1254. Spaniel (American Cocker) - Post Graduate Dog,11
Spaniel (Clumber),Class 1255. Spaniel (American Cocker) - Limit Dog,9
Spaniel (Clumber),Class 1256. Spaniel (American Cocker) - Open Dog,11
Spaniel (Clumber),Class 1257. Spaniel (American Cocker) - Field Trial Dog,0
Spaniel (Clumber),Class 1258. Spaniel (American Cocker) - Special Working Gundog Dog,1
Spaniel (Clumber),Class 1259. Spaniel (American Cocker) - Good Citizen Dog Scheme Dog,4
Spaniel (Clumber),Class 1260. Spaniel (American Cocker) - Veteran Bitch,2
Spaniel (Clumber),Class 1261. Spaniel (American Cocker) - Puppy Bitch,4
Spaniel (Clumber),Class 1262. Spaniel (American Cocker) - Junior Bitch,7
Spaniel (Clumber),Class 1263. Spaniel (American Cocker) - Post Graduate Bitch,8
Spaniel (Clumber),Class 1264. Spaniel (American Cocker) - Limit Bitch,3
Spaniel (Clumber),Class 1265. Spaniel (American Cocker) - Open Bitch,9
Spaniel (Clumber),Class 1266. Spaniel (American Cocker) - Field Trial Bitch,0
Spaniel (Clumber),Class 1267. Spaniel (American Cocker) - Special Working Gundog Bitch,1
Spaniel (Clumber),Class 1268. Spaniel (American Cocker) - Good Citizen Dog Scheme Bitch,2
Spaniel (Cocker),Class 1287.  Veteran Dog,16
Spaniel (Cocker),Class 1288.  Minor Puppy Dog,2
Spaniel (Cocker),Class 1289.  Puppy Dog,14
Spaniel (Cocker),Class 1290.  Junior Dog,20
Spaniel (Cocker),Class 1291.  Yearling Dog,20
Spaniel (Cocker),Class 1292.  Undergraduate Dog,17
Spaniel (Cocker),Class 1293.  Graduate Dog,13
Spaniel (Cocker),Class 1294.  Post Graduate Dog,20
Spaniel (Cocker),Class 1295.  Mid Limit Dog,14
Spaniel (Cocker),Class 1296.  Limit Dog,18
Spaniel (Cocker),Class 1297.  Open Dog,40
Spaniel (Cocker),Class 1298.  Field Trial Dog,1
Spaniel (Cocker),Class 1299.  Special Working Gundog Dog,3
Spaniel (Cocker),Class 1300.  Good Citizen Dog Scheme Dog,16
Spaniel (Cocker),Class 1301.  Veteran Bitch,24
Spaniel (Cocker),Class 1302.  Minor Puppy Bitch,1
Spaniel (Cocker),Class 1303.  Puppy Bitch,17
Spaniel (Cocker),Class 1304.  Junior Bitch,28
Spaniel (Cocker),Class 1305.  Yearling Bitch,22
Spaniel (Cocker),Class 1306.  Undergraduate Bitch,32
Spaniel (Cocker),Class 1307.  Graduate Bitch,21
Spaniel (Cocker),Class 1308.  Post Graduate Bitch,25
Spaniel (Cocker),Class 1309.  Mid Limit Bitch,21
Spaniel (Cocker),Class 1310.  Limit Bitch,14
Spaniel (Cocker),Class 1311.  Open Bitch,30
Spaniel (Cocker),Class 1312.  Field Trial Bitch,0
Spaniel (Cocker),Class 1313.  Special Working Gundog Bitch,4
Spaniel (Cocker),Class 1314.  Good Citizen Dog Scheme Bitch,19
Spaniel (English Springer),Class 1315.  Veteran Dog,10
Spaniel (English Springer),Class 1316.  Minor Puppy Dog,0
Spaniel (English Springer),Class 1317.  Puppy Dog,2
Spaniel (English Springer),Class 1318.  Junior Dog,8
Spaniel (English Springer),Class 1319.  Yearling Dog,5
Spaniel (English Springer),Class 1320.  Post Graduate Dog,7
Spaniel (English Springer),Class 1321.  Limit Dog,11
Spaniel (English Springer),Class 1322.  Open Dog,15
Spaniel (English Springer),Class 1323.  Field Trial Dog,1
Spaniel (English Springer),Class 1324.  Special Working Gundog Dog,3
Spaniel (English Springer),Class 1325.  Good Citizen Dog Scheme Dog,6
Spaniel (English Springer),Class 1326.  Veteran Bitch,5
Spaniel (English Springer),Class 1327.  Minor Puppy Bitch,0
Spaniel (English Springer),Class 1328.  Puppy Bitch,7
Spaniel (English Springer),Class 1329.  Junior Bitch,16
Spaniel (English Springer),Class 1330.  Yearling Bitch,11
Spaniel (English Springer),Class 1331.  Post Graduate Bitch,18
Spaniel (English Springer),Class 1332.  Limit Bitch,9
Spaniel (English Springer),Class 1333.  Open Bitch,20
Spaniel (English Springer),Class 1334.  Field Trial Bitch,2
Spaniel (English Springer),Class 1335.  Special Working Gundog Bitch,1
Spaniel (English Springer),Class 1336.  Good Citizen Dog Scheme Bitch,6
Spaniel (Field),Class 1337.  Veteran Dog,5
Spaniel (Field),Class 1338.  Puppy Dog,6
Spaniel (Field),Class 1339.  Junior Dog,6
Spaniel (Field),Class 1340.  Post Graduate Dog,3
Spaniel (Field),Class 1341.  Limit Dog,1
Spaniel (Field),Class 1342.  Open Dog,9
Spaniel (Field),Class 1343.  Field Trial Dog,0
Spaniel (Field),Class 1344.  Special Working Gundog Dog,1
Spaniel (Field),Class 1345.  Good Citizen Dog Scheme Dog,2
Spaniel (Field),Class 1346.  Veteran Bitch,6
Spaniel (Field),Class 1347.  Puppy Bitch,5
Spaniel (Field),Class 1348.  Junior Bitch,12
Spaniel (Field),Class 1349.  Post Graduate Bitch,3
Spaniel (Field),Class 1350.  Limit Bitch,6
Spaniel (Field),Class 1351.  Open Bitch,8
Spaniel (Field),Class 1352.  Field Trial Bitch,0
Spaniel (Field),Class 1353.  Special Working Gundog Bitch,2
Spaniel (Field),Class 1354.  Good Citizen Dog Scheme Bitch,3
Spaniel (Irish Water),Class 1355.  Veteran Dog,1
Spaniel (Irish Water),Class 1356.  Puppy Dog,1
Spaniel (Irish Water),Class 1357.  Junior Dog,2
Spaniel (Irish Water),Class 1358.  Post Graduate Dog,4
Spaniel (Irish Water),Class 1359.  Limit Dog,2
Spaniel (Irish Water),Class 1360.  Open Dog,4
Spaniel (Irish Water),Class 1361.  Field Trial Dog,0
Spaniel (Irish Water),Class 1362.  Special Working Gundog Dog,0
Spaniel (Irish Water),Class 1363.  Good Citizen Dog Scheme Dog,3
Spaniel (Irish Water),Class 1364.  Veteran Bitch,2
Spaniel (Irish Water),Class 1365.  Puppy Bitch,4
Spaniel (Irish Water),Class 1366.  Junior Bitch,2
Spaniel (Irish Water),Class 1367.  Post Graduate Bitch,3
Spaniel (Irish Water),Class 1368.  Limit Bitch,4
Spaniel (Irish Water),Class 1369.  Open Bitch,6
Spaniel (Irish Water),Class 1370.  Field Trial Bitch,0
Spaniel (Irish Water),Class 1371.  Special Working Gundog Bitch,1
Spaniel (Irish Water),Class 1372.  Good Citizen Dog Scheme Bitch,2
Spaniel (Sussex),Class 1373.  Veteran Dog,4
Spaniel (Sussex),Class 1374.  Puppy Dog,3
Spaniel (Sussex),Class 1375.  Junior Dog,5
Spaniel (Sussex),Class 1376.  Post Graduate Dog,7
Spaniel (Sussex),Class 1377.  Limit Dog,5
Spaniel (Sussex),Class 1378.  Open Dog,8
Spaniel (Sussex),Class 1379.  Field Trial Dog,0
Spaniel (Sussex),Class 1380.  Special Working Gundog Dog,2
